,Date,AAPL,GOOG,META,MSFT
163,1981-08-06,0.112723,,,
164,1981-08-07,0.112723,,,
165,1981-08-10,0.112723,,,
166,1981-08-11,0.109375,,,
167,1981-08-12,0.107143,,,
168,1981-08-13,0.103795,,,
169,1981-08-14,0.102121,,,
170,1981-08-17,0.098772,,,
171,1981-08-18,0.09654,,,
172,1981-08-19,0.095424,,,
173,1981-08-20,0.09654,,,
174,1981-08-21,0.089844,,,
175,1981-08-24,0.084263,,,
176,1981-08-25,0.086496,,,
177,1981-08-26,0.084821,,,
178,1981-08-27,0.085379,,,
179,1981-08-28,0.089844,,,
180,1981-08-31,0.089844,,,
181,1981-09-01,0.095424,,,
182,1981-09-02,0.097098,,,
183,1981-09-03,0.092076,,,
184,1981-09-04,0.09096,,,
185,1981-09-08,0.08817,,,
186,1981-09-09,0.08817,,,
187,1981-09-10,0.088728,,,
188,1981-09-11,0.087612,,,
189,1981-09-14,0.084821,,,
190,1981-09-15,0.082589,,,
191,1981-09-16,0.080915,,,
192,1981-09-17,0.078683,,,
193,1981-09-18,0.079241,,,
194,1981-09-21,0.079799,,,
195,1981-09-22,0.075335,,,
196,1981-09-23,0.073661,,,
197,1981-09-24,0.073103,,,
198,1981-09-25,0.063616,,,
199,1981-09-28,0.064174,,,
200,1981-09-29,0.067522,,,
201,1981-09-30,0.06808,,,
202,1981-10-01,0.06808,,,
203,1981-10-02,0.073661,,,
204,1981-10-05,0.075893,,,
205,1981-10-06,0.075335,,,
206,1981-10-07,0.079799,,,
207,1981-10-08,0.082589,,,
208,1981-10-09,0.083147,,,
209,1981-10-12,0.085938,,,
210,1981-10-13,0.085938,,,
211,1981-10-14,0.080915,,,
212,1981-10-15,0.082589,,,
213,1981-10-16,0.081473,,,
214,1981-10-19,0.083147,,,
215,1981-10-20,0.087612,,,
216,1981-10-21,0.087612,,,
217,1981-10-22,0.087054,,,
218,1981-10-23,0.084821,,,
219,1981-10-26,0.084821,,,
220,1981-10-27,0.086496,,,
221,1981-10-28,0.089286,,,
222,1981-10-29,0.08817,,,
223,1981-10-30,0.089286,,,
224,1981-11-02,0.089286,,,
225,1981-11-03,0.08817,,,
226,1981-11-04,0.085938,,,
227,1981-11-05,0.079799,,,
228,1981-11-06,0.080357,,,
229,1981-11-09,0.081473,,,
230,1981-11-10,0.082031,,,
231,1981-11-11,0.084263,,,
232,1981-11-12,0.087054,,,
233,1981-11-13,0.080915,,,
234,1981-11-16,0.079799,,,
235,1981-11-17,0.081473,,,
236,1981-11-18,0.084263,,,
237,1981-11-19,0.084263,,,
238,1981-11-20,0.084821,,,
239,1981-11-23,0.080915,,,
240,1981-11-24,0.080357,,,
241,1981-11-25,0.082031,,,
242,1981-11-27,0.084263,,,
243,1981-11-30,0.083147,,,
244,1981-12-01,0.083147,,,
245,1981-12-02,0.083705,,,
246,1981-12-03,0.082589,,,
247,1981-12-04,0.084821,,,
248,1981-12-07,0.085379,,,
249,1981-12-08,0.083705,,,
250,1981-12-09,0.084263,,,
251,1981-12-10,0.084263,,,
252,1981-12-11,0.083705,,,
253,1981-12-14,0.080915,,,
254,1981-12-15,0.083147,,,
255,1981-12-16,0.087054,,,
256,1981-12-17,0.094308,,,
257,1981-12-18,0.102121,,,
258,1981-12-21,0.097656,,,
259,1981-12-22,0.09933,,,
260,1981-12-23,0.097098,,,
261,1981-12-24,0.097656,,,
262,1981-12-28,0.093192,,,
263,1981-12-29,0.094866,,,
264,1981-12-30,0.098772,,,
265,1981-12-31,0.098772,,,
266,1982-01-04,0.098214,,,
267,1982-01-05,0.093192,,,
268,1982-01-06,0.092076,,,
269,1982-01-07,0.084821,,,
270,1982-01-08,0.088728,,,
271,1982-01-11,0.083147,,,
272,1982-01-12,0.080357,,,
273,1982-01-13,0.079799,,,
274,1982-01-14,0.083705,,,
275,1982-01-15,0.089286,,,
276,1982-01-18,0.09096,,,
277,1982-01-19,0.088728,,,
278,1982-01-20,0.090402,,,
279,1982-01-21,0.092076,,,
280,1982-01-22,0.092634,,,
281,1982-01-25,0.089844,,,
282,1982-01-26,0.086496,,,
283,1982-01-27,0.087054,,,
284,1982-01-28,0.089844,,,
285,1982-01-29,0.09096,,,
286,1982-02-01,0.089844,,,
287,1982-02-02,0.090402,,,
288,1982-02-03,0.090402,,,
289,1982-02-04,0.08817,,,
290,1982-02-05,0.08817,,,
291,1982-02-08,0.082589,,,
292,1982-02-09,0.082589,,,
293,1982-02-10,0.083705,,,
294,1982-02-11,0.082589,,,
295,1982-02-12,0.083705,,,
296,1982-02-16,0.082031,,,
297,1982-02-17,0.083147,,,
298,1982-02-18,0.084263,,,
299,1982-02-19,0.083705,,,
300,1982-02-22,0.082589,,,
301,1982-02-23,0.081473,,,
302,1982-02-24,0.082031,,,
303,1982-02-25,0.081473,,,
304,1982-02-26,0.081473,,,
305,1982-03-01,0.082031,,,
306,1982-03-02,0.082031,,,
307,1982-03-03,0.082031,,,
308,1982-03-04,0.080357,,,
309,1982-03-05,0.074219,,,
310,1982-03-08,0.073103,,,
311,1982-03-09,0.073661,,,
312,1982-03-10,0.072545,,,
313,1982-03-11,0.072545,,,
314,1982-03-12,0.06808,,,
315,1982-03-15,0.067522,,,
316,1982-03-16,0.066406,,,
317,1982-03-17,0.063058,,,
318,1982-03-18,0.06808,,,
319,1982-03-19,0.074219,,,
320,1982-03-22,0.079799,,,
321,1982-03-23,0.078683,,,
322,1982-03-24,0.074219,,,
323,1982-03-25,0.073661,,,
324,1982-03-26,0.072545,,,
325,1982-03-29,0.074219,,,
326,1982-03-30,0.075335,,,
327,1982-03-31,0.075335,,,
328,1982-04-01,0.079241,,,
329,1982-04-02,0.079241,,,
330,1982-04-05,0.079241,,,
331,1982-04-06,0.078683,,,
332,1982-04-07,0.077567,,,
333,1982-04-08,0.078125,,,
334,1982-04-12,0.077567,,,
335,1982-04-13,0.071429,,,
336,1982-04-14,0.071987,,,
337,1982-04-15,0.073103,,,
338,1982-04-16,0.075335,,,
339,1982-04-19,0.073661,,,
340,1982-04-20,0.070313,,,
341,1982-04-21,0.069754,,,
342,1982-04-22,0.068638,,,
343,1982-04-23,0.068638,,,
344,1982-04-26,0.070313,,,
345,1982-04-27,0.06808,,,
346,1982-04-28,0.06529,,,
347,1982-04-29,0.06529,,,
348,1982-04-30,0.065848,,,
349,1982-05-03,0.06808,,,
350,1982-05-04,0.070313,,,
351,1982-05-05,0.069196,,,
352,1982-05-06,0.071429,,,
353,1982-05-07,0.072545,,,
354,1982-05-10,0.071429,,,
355,1982-05-11,0.069196,,,
356,1982-05-12,0.067522,,,
357,1982-05-13,0.06808,,,
358,1982-05-14,0.06529,,,
359,1982-05-17,0.064174,,,
360,1982-05-18,0.063058,,,
361,1982-05-19,0.0625,,,
362,1982-05-20,0.063058,,,
363,1982-05-21,0.063616,,,
364,1982-05-24,0.064174,,,
365,1982-05-25,0.064174,,,
366,1982-05-26,0.063616,,,
367,1982-05-27,0.0625,,,
368,1982-05-28,0.0625,,,
369,1982-06-01,0.061384,,,
370,1982-06-02,0.0625,,,
371,1982-06-03,0.060268,,,
372,1982-06-04,0.058594,,,
373,1982-06-07,0.058594,,,
374,1982-06-08,0.058036,,,
375,1982-06-09,0.05692,,,
376,1982-06-10,0.057478,,,
377,1982-06-11,0.05971,,,
378,1982-06-14,0.05971,,,
379,1982-06-15,0.05971,,,
380,1982-06-16,0.05971,,,
381,1982-06-17,0.058594,,,
382,1982-06-18,0.057478,,,
383,1982-06-21,0.057478,,,
384,1982-06-22,0.05971,,,
385,1982-06-23,0.061384,,,
386,1982-06-24,0.061384,,,
387,1982-06-25,0.059152,,,
388,1982-06-28,0.058594,,,
